taudit_rule_id,arxiv_weakness,upstream_raw_weakness,benchmark_scope,enabled_by_default,mapping_status,rationale,evidence
authority_propagation,SEW,SEW,gha_default,yes,proposed,Authority reaching a lower-trust step is treated as secret or token exposure for the benchmark,docs/rules/authority_propagation.md
over_privileged_identity,EPW,EPW,gha_default,yes,proposed,Broad or unknown GITHUB_TOKEN authority matches excessive permission weakness,docs/rules/over_privileged_identity.md
unpinned_action,UDW,UDW,gha_default,yes,proposed,Mutable action references match unpinned dependency weakness,docs/rules/unpinned_action.md
oidc_identity_in_untrusted_context,PTW,TMW,gha_default,yes,needs_author_review,Untrusted trigger context can mint privileged OIDC identity,taudit explain oidc_identity_in_untrusted_context
action_major_version_pin_without_sha,UDW,UDW,gha_default,yes,proposed,Major-version action pin remains mutable and unpinned to a digest,taudit explain action_major_version_pin_without_sha
known_compromised_action_ref,KVCW,KVCW,gha_default,yes,proposed,Known compromised action family maps to vulnerable component weakness,taudit explain known_compromised_action_ref
untrusted_with_authority,SEW,SEW,gha_default,yes,proposed,Untrusted step with secrets or identity is secret or token exposure,docs/rules/untrusted_with_authority.md
artifact_boundary_crossing,AIW,AIW,gha_default,yes,proposed,Artifact crosses trust boundary without integrity evidence,docs/rules/artifact_boundary_crossing.md
floating_image,UDW,UDW,gha_default,yes,proposed,Container image without digest pin is an unpinned dependency,docs/rules/floating_image.md
long_lived_credential,SEW,SEW,gha_default,yes,proposed,Long-lived secret-shaped credential exposure fits secret weakness,docs/rules/long_lived_credential.md
persisted_credential,SEW,SEW,gha_default,yes,proposed,Checkout credential persistence exposes repository token material,docs/rules/persisted_credential.md
trigger_context_mismatch,PTW,TMW,gha_default,yes,proposed,Privileged workflow under PR context matches privileged trigger weakness,docs/rules/trigger_context_mismatch.md
cross_workflow_authority_chain,PTW,TMW,gha_default,yes,needs_author_review,Authority-bearing workflow delegation is closest to privileged trigger and workflow-control weakness,docs/rules/cross_workflow_authority_chain.md
authority_cycle,CFW,CFW,gha_default,yes,needs_author_review,Delegation cycle is a workflow control-flow weakness rather than a direct secret finding,docs/rules/authority_cycle.md
uplift_without_attestation,HGW,HGW,gha_default,yes,needs_author_review,Missing provenance attestation is a hardening gap for privileged builds,docs/rules/uplift_without_attestation.md
self_mutating_pipeline,IW,IW,gha_default,yes,proposed,GITHUB_ENV or GITHUB_PATH mutation is pipeline injection,docs/rules/self_mutating_pipeline.md
checkout_self_pr_exposure,PTW,TMW,gha_default,yes,proposed,PR-triggered checkout of attacker code under authority matches privileged trigger exposure,docs/rules/checkout_self_pr_exposure.md
